Ticker,Return,Market Cap,Sector
CHD,0.0226,18.10,Consumer Defensive
DHI,0.0248,18.78,Consumer Cyclical
FTV,-0.2338,18.14,Technology
INCY,0.138,17.76,Healthcare
RSG,-0.0949,17.86,Industrials
SPG,-0.6335,18.36,Real Estate
AEE,-0.0909,17.98,Utilities
LVS,-0.3207,16.42,Consumer Cyclical
ALGN,-0.1265,17.89,Healthcare
AJG,-0.0434,17.35,Financial
AMP,-0.2048,18.24,Financial
LH,0.0059,17.04,Healthcare
FRC,-0.1716,18.32,Financial
GLW,-0.2655,17.75,Technology
TTWO,0.1477,14.99,Communication Services
AKAM,0.1625,16.65,Technology
TFX,-0.0351,16.53,Healthcare
LEN,0.0771,16.87,Consumer Cyclical
NTRS,-0.3046,16.96,Financial
CAG,-0.0456,16.42,Consumer Defensive
CTXS,0.2357,16.26,Technology
CMS,-0.1154,16.43,Utilities
CDW,-0.2597,15.77,Technology
LYB,-0.3605,16.51,Basic Materials
K,-0.1022,16.28,Consumer Defensive
MXIM,-0.0876,15.28,Technology
CAH,0.0595,15.92,Healthcare
ESS,-0.2142,16.27,Real Estate
LUV,-0.4652,17.16,Industrials
AMCR,-0.1144,16.23,Consumer Cyclical
PXD,-0.3894,15.35,Energy
CARR,0.5875,15.94,Industrials
DGX,0.0566,15.68,Healthcare
OKE,-0.5216,15.33,Energy
ODFL,0.2551,15.82,Industrials
KSU,-0.0386,15.10,Industrials
DPZ,0.2666,14.18,Consumer Cyclical
COO,-0.1054,15.52,Healthcare
JKHY,0.2832,13.55,Technology
HOLX,0.0023,13.99,Healthcare
WY,-0.345,15.88,Real Estate
ABC,0.0955,14.21,Healthcare
IFF,0.0031,14.34,Basic Materials
BR,-0.0545,13.63,Technology
EVRG,-0.0782,14.23,Utilities
PAYC,0.0173,14.07,Technology
TIF,-0.0642,13.70,Consumer Cyclical
STE,0.0332,13.83,Healthcare
VMC,-0.3066,14.57,Basic Materials
OXY,-0.6571,12.17,Energy
HRL,0.0403,13.33,Consumer Defensive
CBRE,-0.3425,14.75,Real Estate
HPE,-0.4218,12.42,Technology
DOV,-0.2212,14.09,Industrials
FCX,-0.3338,13.18,Basic Materials
LDOS,0.0314,13.90,Technology
NDAQ,0.0769,13.37,Financial
DAL,-0.612,14.75,Industrials
MAS,-0.0661,13.32,Industrials
ZBRA,-0.0466,13.92,Technology
IP,-0.2912,13.79,Consumer Cyclical
GWW,-0.1347,13.51,Industrials
KMX,-0.0698,14.59,Consumer Cyclical
DFS,-0.5229,15.53,Financial
TSCO,0.197,14.07,Consumer Cyclical
MTB,-0.4225,14.42,Financial
MAA,-0.1333,13.34,Real Estate
HIG,-0.3913,14.13,Financial
FITB,-0.4271,14.32,Financial
WDC,-0.3317,12.77,Technology
BF-B,-0.0417,12.01,Consumer Defensive
SJM,0.0425,12.62,Consumer Defensive
EXPD,-0.0764,12.87,Industrials
NUE,-0.2985,12.96,Basic Materials
HES,-0.295,12.54,Energy
ULTA,-0.1285,13.94,Consumer Cyclical
ANET,0.0824,12.13,Technology
VTR,-0.4162,13.57,Real Estate
GRMN,-0.1402,13.14,Technology
FMC,-0.0653,12.67,Basic Materials
DRE,-0.0401,12.83,Real Estate
QRVO,-0.1264,11.72,Technology
STX,-0.1435,11.89,Technology
WAT,-0.201,12.78,Healthcare
NLOK,0.4967,11.91,Technology
ATO,-0.121,12.16,Utilities
PEAK,-0.2878,12.57,Real Estate
BXP,-0.4341,12.63,Real Estate
CXO,-0.3625,10.97,Energy
OMC,-0.3609,12.00,Communication Services
IEX,-0.1253,11.76,Industrials
EXR,-0.1836,12.60,Real Estate
GPC,-0.2731,12.26,Consumer Cyclical
LNT,-0.1524,11.76,Utilities
CBOE,-0.1724,11.42,Financial
MLM,-0.3574,12.29,Basic Materials
XYL,-0.2103,12.18,Industrials
EXPE,-0.2792,10.89,Consumer Cyclical
VAR,-0.1873,11.27,Healthcare
NVR,-0.1771,11.23,Consumer Cyclical
UDR,-0.2231,11.26,Real Estate
CHRW,-0.0044,10.92,Industrials
KEY,-0.4694,11.92,Financial
VIAC,-0.5332,11.39,Communication Services
WAB,-0.2699,11.20,Industrials
NTAP,-0.2822,10.10,Technology
HAL,-0.5264,10.65,Energy
IT,-0.2368,10.81,Technology
CE,-0.3057,11.17,Basic Materials
J,-0.1417,11.43,Industrials
PKI,-0.038,10.96,Healthcare
SYF,-0.5043,12.00,Financial
BKR,-0.4101,10.65,Energy
SIVB,-0.2452,11.15,Financial
IR,-0.2219,9.92,Industrials
FOXA,-0.2501,10.15,Communication Services
RF,-0.4202,11.12,Financial
URI,-0.2171,10.36,Industrials
ETFC,-0.0928,10.34,Financial
DRI,-0.3062,9.67,Consumer Cyclical
CTL,-0.2566,9.75,Communication Services
CFG,-0.476,10.74,Financial
AAP,-0.1666,9.60,Consumer Cyclical
XRAY,-0.2536,10.44,Healthcare
PFG,-0.3285,10.54,Financial
ALLE,-0.2429,9.34,Industrials
NRG,-0.1014,9.22,Utilities
JBHT,-0.0712,10.16,Industrials
EMN,-0.1741,9.36,Basic Materials
AVY,-0.1863,9.36,Industrials
ABMD,0.2085,9.76,Healthcare
PKG,-0.1697,9.58,Consumer Cyclical
HAS,-0.3685,9.37,Consumer Cyclical
MGM,-0.5221,8.86,Consumer Cyclical
HSIC,-0.15,9.00,Healthcare
AES,-0.3849,8.50,Utilities
NI,-0.1706,8.89,Utilities
HBAN,-0.4632,9.45,Financial
FBHS,-0.0735,8.54,Consumer Cyclical
CNP,-0.3795,8.98,Utilities
UHS,-0.2739,8.60,Healthcare
FFIV,-0.0168,8.49,Technology
MYL,-0.2219,8.86,Healthcare
WYNN,-0.4365,8.01,Consumer Cyclical
HST,-0.3946,8.64,Real Estate
L,-0.3921,8.65,Financial
LW,-0.3349,8.70,Consumer Defensive
PNW,-0.192,8.62,Utilities
RJF,-0.2711,8.74,Financial
CPB,-0.0217,8.35,Consumer Defensive
CINF,-0.4549,9.18,Financial
WU,-0.2901,8.53,Financial
PHM,-0.1415,8.75,Consumer Cyclical
RE,-0.257,8.21,Financial
JNPR,-0.0597,7.95,Technology
LKQ,-0.2903,8.54,Consumer Cyclical
WRB,-0.1831,8.42,Financial
COG,0.0856,7.89,Energy
PRGO,0.0507,7.49,Healthcare
WHR,-0.1886,7.62,Consumer Cyclical
SNA,-0.2392,7.33,Industrials
GL,-0.3108,7.74,Financial
ALB,-0.0675,8.10,Basic Materials
HII,-0.2715,8.20,Industrials
DVA,0.0237,7.12,Healthcare
DISH,-0.1666,7.97,Communication Services
LNC,-0.4069,7.78,Financial
FANG,-0.5376,6.92,Energy
TAP,-0.3167,7.17,Consumer Defensive
RCL,-0.6769,8.83,Consumer Cyclical
REG,-0.346,7.45,Real Estate
IRM,-0.2416,7.34,Real Estate
LYV,-0.3495,6.92,Communication Services
WRK,-0.4092,7.39,Consumer Cyclical
IPG,-0.2866,6.72,Communication Services
DISCK,-0.3977,6.69,Communication Services
TXT,-0.3966,7.14,Industrials
AIZ,-0.2267,6.27,Financial
FLIR,-0.1346,6.01,Technology
BWA,-0.3121,6.59,Consumer Cyclical
PNR,-0.2047,6.61,Industrials
CF,-0.4221,6.38,Basic Materials
AOS,-0.1138,6.45,Industrials
VNO,-0.4865,6.00,Real Estate
RHI,-0.2492,6.05,Industrials
IPGP,0.086,5.39,Technology
CCL,-0.7155,6.29,Consumer Cyclical
FRT,-0.3903,5.61,Real Estate
ROL,0.168,5.64,Consumer Cyclical
UAL,-0.7117,6.27,Industrials
AIV,-0.3049,5.53,Real Estate
ZION,-0.4185,5.81,Financial
BEN,-0.3114,5.34,Financial
PBCT,-0.3574,5.18,Financial
MHK,-0.3891,5.58,Consumer Cyclical
NOV,-0.5174,4.94,Energy
